neighbourhood_group,neighbourhood,Number_of_Listings,Number_of_Hosts,Number_of_Neighbours,Average_Price,Average_Number_of_Nights,Average_Number_of_Reviews,Average_number_of_Reviews_per_Month,AVerage_Host_List_Count,Average_Availability
Bronx,Allerton,37,24,1,90.59,2,48,1.83,2,171
Bronx,Baychester,6,4,1,78,2,51,2.21,1,184
Bronx,Belmont,20,15,1,79.45,2,14,1.89,1,210
Bronx,Bronxdale,16,15,1,51.88,2,28,1.92,1,161
Bronx,Castle Hill,2,2,1,74,2,59,2.77,1,106
Bronx,City Island,15,14,1,94.27,1,50,2.05,1,136
Bronx,Claremont Village,16,12,1,68.94,25,21,1.92,2,138
Bronx,Clason Point,18,13,1,101.33,2,17,1.6,2,221
Bronx,Co-op City,2,2,1,77.5,2,17,0.24,7,364
Bronx,Concourse,41,35,1,77.95,2,40,1.8,1,173
Bronx,Concourse Village,24,23,1,73.17,3,33,1.4,1,180
Bronx,East Morrisania,10,5,1,85,1,48,2.62,2,193
Bronx,Eastchester,10,1,1,124.9,1,15,0.46,13,352
Bronx,Edenwald,9,7,1,84.56,2,22,1.88,1,207
Bronx,Fieldston,12,11,1,75.08,3,12,0.93,1,143
Bronx,Fordham,47,35,1,62.06,4,20,1.54,2,138
Bronx,Highbridge,23,15,1,72.17,2,57,2.11,2,165
Bronx,Hunts Point,16,7,1,51.81,14,11,1.26,3,247
Bronx,Kingsbridge,54,43,1,78.2,4,26,1.63,1,166
Bronx,Longwood,47,38,1,74.49,2,35,1.88,1,172
Bronx,Melrose,7,7,1,82.71,2,12,1.54,1,55
Bronx,Morris Heights,12,10,1,62.75,1,38,1.87,1,175
Bronx,Morris Park,13,8,1,72,2,20,1.43,2,117
Bronx,Morrisania,7,6,1,75.43,2,26,1.97,1,158
Bronx,Mott Haven,53,42,1,80.72,2,47,2.43,1,149
Bronx,Mount Eden,5,5,1,60.6,1,84,1.78,1,163
Bronx,Mount Hope,18,16,1,80.28,12,24,1.25,2,152
Bronx,North Riverdale,6,4,1,59.17,1,30,1.26,2,186
Bronx,Norwood,24,23,1,68.13,4,21,1.15,1,174
Bronx,Olinville,2,2,1,53,1,15,1.44,1,250
Bronx,Parkchester,32,22,1,68.56,2,28,1.55,1,132
Bronx,Pelham Bay,13,11,1,113.46,2,34,2.01,1,208
Bronx,Pelham Gardens,25,20,1,89.04,2,45,2.47,1,156
Bronx,Port Morris,38,20,1,70.47,3,24,1.83,3,135
Bronx,Riverdale,7,7,1,226.86,3,41,1.32,1,180
Bronx,Schuylerville,13,7,1,69.23,2,32,3.16,3,143
Bronx,Soundview,13,9,1,52.85,1,33,2.27,1,147
Bronx,Spuyten Duyvil,4,4,1,154.75,48,17,0.75,1,270
Bronx,Throgs Neck,21,14,1,94.52,1,36,2.44,2,194
Bronx,Tremont,10,7,1,49.9,2,22,1.24,1,130
Bronx,Unionport,5,4,1,162,1,20,3.04,1,252
Bronx,University Heights,17,11,1,67.71,2,45,1.37,2,143
Bronx,Van Nest,9,5,1,58.56,8,22,2,2,110
Bronx,Wakefield,41,32,1,75.71,3,31,2.29,1,208
Bronx,West Farms,2,2,1,122,1,3,0.4,1,244
Bronx,Westchester Square,9,6,1,127.44,2,17,1.61,1,137
Bronx,Williamsbridge,34,23,1,104.41,4,33,2.13,2,247
Bronx,Woodlawn,11,9,1,60.09,1,44,2.37,1,98
Brooklyn,Bath Beach,15,13,1,84.8,2,24,1.61,1,173
Brooklyn,Bay Ridge,115,92,1,105.37,9,22,1.57,1,153
Brooklyn,Bedford-Stuyvesant,3141,2342,1,105.96,4,35,1.55,2,123
Brooklyn,Bensonhurst,61,46,1,77.21,4,30,1.58,2,146
Brooklyn,Bergen Beach,8,8,1,105.75,3,25,1.87,1,150
Brooklyn,Boerum Hill,147,127,1,167.76,7,29,1.01,2,84
Brooklyn,Borough Park,110,64,1,64.4,2,20,1.3,3,154
Brooklyn,Brighton Beach,59,46,1,87.29,3,22,1.71,2,167
Brooklyn,Brooklyn Heights,124,121,1,201.96,5,20,0.89,1,67
Brooklyn,Brownsville,56,43,1,75.59,2,34,1.63,2,125
Brooklyn,Bushwick,1944,1515,1,85.12,4,27,1.35,2,98
Brooklyn,Canarsie,135,95,1,96.24,2,39,2.15,2,218
Brooklyn,Carroll Gardens,198,177,1,178.9,4,29,1.08,1,76
Brooklyn,Clinton Hill,480,415,1,176.16,5,30,0.97,1,106
Brooklyn,Cobble Hill,88,82,1,193.43,6,32,1.2,1,65
Brooklyn,Columbia St,35,32,1,133.57,5,19,1.01,1,73
Brooklyn,Coney Island,15,8,1,125.6,3,24,1.08,4,152
Brooklyn,Crown Heights,1265,1047,1,111.63,5,28,1.23,1,104
Brooklyn,Cypress Hills,125,85,1,130.97,6,35,2,2,170
Brooklyn,Downtown Brooklyn,57,54,1,152.28,6,20,0.95,3,44
Brooklyn,DUMBO,24,22,1,178.38,4,57,1.38,1,107
Brooklyn,Dyker Heights,11,10,1,95.09,2,37,1.72,1,157
Brooklyn,East Flatbush,428,287,1,106.59,5,29,1.7,3,177
Brooklyn,East New York,192,113,1,87.19,3,35,1.99,3,182
Brooklyn,Flatbush,497,416,1,94.57,4,25,1.11,1,102
Brooklyn,Flatlands,66,51,1,97.94,2,27,1.61,1,210
Brooklyn,Fort Greene,401,343,1,153.89,6,26,1.02,1,89
Brooklyn,Fort Hamilton,45,38,1,95.13,4,16,0.84,1,147
Brooklyn,Gowanus,208,168,1,155,5,37,1.39,2,127
Brooklyn,Gravesend,43,30,1,73.19,4,31,1.42,3,132
Brooklyn,Greenpoint,868,677,1,144.39,6,22,0.9,5,81
Brooklyn,Kensington,140,111,1,88.19,4,21,1.04,2,89
Brooklyn,Manhattan Beach,7,6,1,107,6,57,1.47,1,235
Brooklyn,Midwood,81,71,1,76.63,3,20,0.93,1,99
Brooklyn,Mill Basin,4,4,1,179.75,2,17,2.13,1,290
Brooklyn,Navy Yard,12,12,1,151.92,3,20,0.86,1,26
Brooklyn,Park Slope,410,373,1,169.86,7,35,1.06,1,100
Brooklyn,Prospect Heights,307,270,1,148.75,5,35,1.1,1,84
Brooklyn,Prospect-Lefferts Gardens,449,367,1,106.96,4,31,1.34,1,101
Brooklyn,Red Hook,66,62,1,136.58,3,34,1.41,1,111
Brooklyn,Sea Gate,4,3,1,482.5,3,2,0.33,2,110
Brooklyn,Sheepshead Bay,126,85,1,102.05,3,25,1.76,2,178
Brooklyn,South Slope,245,210,1,146.03,5,42,1.23,1,90
Brooklyn,Sunset Park,318,249,1,110.66,6,24,1.25,2,112
Brooklyn,Vinegar Hill,26,24,1,172.69,7,20,0.83,1,77
Brooklyn,Williamsburg,3163,2724,1,139.81,5,27,1.1,1,78
Brooklyn,Windsor Terrace,128,111,1,130.69,9,33,1.21,1,93
Manhattan,Battery Park City,36,36,1,182.19,10,16,0.68,7,71
Manhattan,Chelsea,828,719,1,221.79,8,28,1.25,6,103
Manhattan,Chinatown,321,286,1,157.46,5,30,1.37,1,95
Manhattan,Civic Center,30,28,1,169.83,5,21,0.78,3,66
Manhattan,East Harlem,944,751,1,132.75,4,38,1.67,2,100
Manhattan,East Village,1490,1324,1,174.79,5,29,1.12,1,74
Manhattan,Financial District,509,275,1,218.75,7,13,1.48,118,191
Manhattan,Flatiron District,58,56,1,291.48,5,24,1.25,1,133
Manhattan,Gramercy,263,230,1,205.19,7,29,1.12,4,100
Manhattan,Greenwich Village,307,290,1,239.07,12,21,0.92,2,82
Manhattan,Harlem,2206,1760,1,117.09,5,34,1.34,2,111
Manhattan,Hell's Kitchen,1532,1089,1,186.09,6,32,1.84,9,138
Manhattan,Inwood,203,172,1,84.81,4,23,0.95,2,99
Manhattan,Kips Bay,337,281,1,180.1,10,17,1.06,9,116
Manhattan,Little Italy,91,75,1,176.8,11,30,1.37,5,106
Manhattan,Lower East Side,738,634,1,177.43,5,32,1.25,2,96
Manhattan,Marble Hill,10,9,1,94,2,16,0.72,1,106
Manhattan,Midtown,986,699,1,267.58,8,19,1.28,9,143
Manhattan,Morningside Heights,252,221,1,113.96,4,18,0.99,1,45
Manhattan,Murray Hill,311,199,1,218.08,12,14,1.01,45,151
Manhattan,NoHo,62,55,1,298.45,5,16,0.8,4,96
Manhattan,Nolita,206,187,1,233.62,6,27,1.09,2,65
Manhattan,Roosevelt Island,66,59,1,114.11,6,18,1.06,1,81
Manhattan,SoHo,287,244,1,281.3,5,25,1.15,2,113
Manhattan,Stuyvesant Town,23,23,1,126,7,13,1.12,1,59
Manhattan,Theater District,148,107,1,236.18,8,29,2.57,20,166
Manhattan,Tribeca,110,98,1,460.3,6,18,0.83,9,114
Manhattan,Two Bridges,60,54,1,122.22,5,35,2.4,1,96
Manhattan,Upper East Side,1405,1129,1,167.3,8,22,1.08,6,114
Manhattan,Upper West Side,1482,1232,1,186.61,8,24,1,4,97
Manhattan,Washington Heights,721,607,1,86.98,6,23,1.22,2,106
Manhattan,West Village,610,565,1,250.33,6,24,0.94,2,85
Queens,Arverne,66,53,1,158.52,1,34,1.77,1,193
Queens,Astoria,709,584,1,116.02,5,27,1.27,2,117
Queens,Bay Terrace,5,4,1,118.8,2,49,1.12,1,194
Queens,Bayside,31,20,1,178.13,3,29,2.3,2,184
Queens,Bayswater,11,10,1,92.27,4,17,1.97,1,205
Queens,Belle Harbor,5,4,1,166.4,1,14,1.64,1,279
Queens,Bellerose,8,7,1,80.5,1,14,0.83,1,259
Queens,Breezy Point,2,1,1,195,1,2,0.22,2,109
Queens,Briarwood,45,29,1,101.24,1,27,1.68,3,180
Queens,Cambria Heights,16,14,1,83.44,2,30,2.06,1,129
Queens,College Point,15,14,1,93,2,29,2.38,1,147
Queens,Corona,59,32,1,56.93,2,30,2.01,3,242
Queens,Ditmars Steinway,248,202,1,92.71,3,31,1.5,1,129
Queens,Douglaston,8,6,1,82.75,2,20,1.21,2,205
Queens,East Elmhurst,171,102,1,81.22,1,88,4.82,2,170
Queens,Edgemere,8,7,1,94.63,9,14,1.31,11,294
Queens,Elmhurst,194,123,1,80.14,5,28,1.64,6,140
Queens,Far Rockaway,22,15,1,72.5,4,17,1.32,9,153
Queens,Flushing,363,173,1,83.84,3,40,2.26,4,168
Queens,Forest Hills,120,84,1,106.17,4,26,1.27,2,139
Queens,Fresh Meadows,30,18,1,99.47,1,34,2.82,2,135
Queens,Glendale,46,37,1,91.13,3,31,2.14,1,164
Queens,Hollis,10,8,1,76.7,2,16,1.98,2,135
Queens,Holliswood,2,2,1,159,3,7,0.42,1,157
Queens,Howard Beach,15,11,1,113.87,3,18,2.72,1,207
Queens,Jackson Heights,160,114,1,80.31,4,31,1.83,4,158
Queens,Jamaica,192,122,1,86.17,1,51,3.15,2,184
Queens,Jamaica Estates,14,13,1,134.79,2,42,2.83,1,158
Queens,Jamaica Hills,7,5,1,136.71,1,9,3.32,1,134
Queens,Kew Gardens,23,14,1,72.3,3,14,1.53,2,192
Queens,Kew Gardens Hills,21,19,1,95.33,3,15,1.53,1,121
Queens,Laurelton,16,11,1,96.94,1,33,2.47,2,185
Queens,Little Neck,3,2,1,42.33,1,6,0.33,3,105
Queens,Long Island City,416,347,1,117.37,5,29,1.48,2,119
Queens,Maspeth,81,59,1,88.38,4,30,1.99,4,201
Queens,Middle Village,28,21,1,108.86,4,37,1.84,2,220
Queens,Neponsit,3,3,1,274.67,2,15,1.6,1,231
Queens,Ozone Park,47,35,1,86.79,2,32,1.96,2,173
Queens,Queens Village,50,40,1,77.84,1,42,3.22,1,178
Queens,Rego Park,90,69,1,79.91,3,30,1.59,2,132
Queens,Richmond Hill,81,51,1,85.77,3,39,2.65,2,200
Queens,Ridgewood,304,243,1,80.44,5,25,1.42,2,112
Queens,Rockaway Beach,47,42,1,130.85,3,28,1.7,1,173
Queens,Rosedale,51,32,1,77.27,3,32,2.68,2,177
Queens,South Ozone Park,38,23,1,85.05,3,51,3.18,3,218
Queens,Springfield Gardens,80,46,1,93.35,2,73,4.46,2,208
Queens,St. Albans,69,45,1,97.52,1,37,2.52,2,229
Queens,Sunnyside,294,218,1,84.13,6,27,1.41,5,131
Queens,Whitestone,8,5,1,127.88,1,31,3.32,2,152
Queens,Woodhaven,72,39,1,62.72,2,38,2.26,3,206
Queens,Woodside,170,117,1,89.85,7,29,1.69,12,137
Staten Island,Arden Heights,4,4,1,67.25,9,7,1.04,1,94
Staten Island,Arrochar,20,10,1,118.25,2,15,1.11,4,259
Staten Island,"Bay Terrace, Staten Island",2,2,1,102.5,16,1,0.45,1,0
Staten Island,Bull's Head,3,2,1,48,1,30,2.42,1,120
Staten Island,Castleton Corners,2,2,1,182,2,50,1.93,1,195
Staten Island,Clifton,13,9,1,84.92,1,54,1.97,3,212
Staten Island,Concord,24,10,1,60.58,5,27,1.51,4,273
Staten Island,Dongan Hills,7,5,1,79.43,2,22,2.07,1,157
Staten Island,Eltingville,2,2,1,63,3,114,2.47,1,274
Staten Island,Emerson Hill,3,3,1,69,1,18,1.87,1,86
Staten Island,Graniteville,3,3,1,68.67,2,41,1.53,1,163
Staten Island,Grant City,4,3,1,60.5,4,40,2.42,2,210
Staten Island,Great Kills,10,7,1,100.6,10,26,0.99,1,148
Staten Island,Grymes Hill,6,6,1,156.5,2,12,1.2,1,106
Staten Island,Howland Hook,2,2,1,100,3,20,0.57,1,225
Staten Island,Huguenot,3,2,1,118.33,1,55,3.76,1,208
Staten Island,Lighthouse Hill,2,2,1,157.5,2,39,1.17,1,215
Staten Island,Mariners Harbor,7,7,1,79.57,2,24,2.74,1,166
Staten Island,Midland Beach,4,4,1,97.5,2,9,0.92,1,281
Staten Island,New Brighton,5,4,1,101.8,7,40,2.42,1,142
Staten Island,New Dorp Beach,2,2,1,38,1,37,5.5,1,242
Staten Island,New Springville,6,5,1,69.17,1,39,3.14,1,72
Staten Island,Oakwood,5,3,1,81.2,1,1,0.71,2,188
Staten Island,Port Richmond,7,5,1,77.14,5,21,1.52,2,245
Staten Island,Prince's Bay,2,2,1,135,2,11,1.89,1,33
Staten Island,Randall Manor,17,10,1,75.53,2,20,1.6,2,266
Staten Island,Richmondtown,1,1,1,78,3,79,2.56,1,300
Staten Island,Rosebank,7,7,1,111.86,2,30,3.81,1,175
Staten Island,Rossville,1,1,1,75,3,21,1.69,1,59
Staten Island,Shore Acres,3,3,1,105,3,48,1.44,1,178
Staten Island,Silver Lake,2,2,1,70,2,118,4.34,1,162
Staten Island,South Beach,8,7,1,89.25,2,11,1.74,2,182
Staten Island,St. George,35,27,1,102.31,2,56,2.03,2,188
Staten Island,Stapleton,24,17,1,84.88,2,43,2.29,2,223
Staten Island,Todt Hill,4,3,1,169,5,4,0.88,2,89
Staten Island,Tompkinsville,40,23,1,77.25,2,60,2.21,2,217
Staten Island,Tottenville,5,4,1,160.8,2,27,1.15,1,228
Staten Island,West Brighton,16,8,1,66.25,5,41,1.44,2,264
Staten Island,Westerleigh,2,2,1,71.5,2,9,0.51,1,112
Staten Island,Willowbrook,1,1,1,249,4,9,0.8,2,351
